ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	12/190	301/21728	1.45197601675027e-05	0.000479763443850431	0.000340912706869121	ADAMTS1/BMP7/CDH1/COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/FGA/MMP10/MMP9/TNC	12
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	8/190	126/21728	1.53707775004328e-05	0.000497829451098191	0.000353750140633814	HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1/SOS2	8
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	6/190	61/21728	1.53837071540378e-05	0.000497829451098191	0.000353750140633814	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/MMP9	6
REACTOME_TIE2_SIGNALING	REACTOME_TIE2_SIGNALING	4/190	18/21728	1.57491139977483e-05	0.000504453763662569	0.000358457277779039	HRAS/PIK3CA/PIK3R2/PTPN11	4
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	5/190	37/21728	1.68457748726715e-05	0.000534130175003189	0.000379544890538977	ARID1A/ARID1B/AUTS2/SMARCB1/SMARCC2	5
KAYO_CALORIE_RESTRICTION_MUSCLE_UP	KAYO_CALORIE_RESTRICTION_MUSCLE_UP	7/190	94/21728	1.88601384852173e-05	0.000588071486153968	0.00041787477713662	ARCN1/COL1A1/COL1A2/COL6A3/FLNA/GAS1/TUBA1A	7
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	10/190	213/21728	1.90341109196982e-05	0.000588071486153968	0.00041787477713662	FGFR2/FGFR3/HRAS/MAP2K2/PIK3CA/PIK3R2/PIKFYVE/RAC1/RAF1/SOS2	10
WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	5/190	38/21728	1.92612465032404e-05	0.000588071486153968	0.00041787477713662	APAF1/CASP9/MAP2K2/NEFL/RAC1	5
REACTOME_CELL_CELL_COMMUNICATION	REACTOME_CELL_CELL_COMMUNICATION	8/190	130/21728	1.92963883637651e-05	0.000588071486153968	0.00041787477713662	CDH1/CDH11/CDH5/FLNA/NPHS1/PIK3CA/PIK3R2/PTPN11	8
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	11/190	261/21728	1.99264300764102e-05	0.000601433307787035	0.000427369487165114	COL1A1/COL1A2/F5/FGA/FLNA/GNB2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1	11
KEGG_GLIOMA	KEGG_GLIOMA	6/190	65/21728	2.22315670545483e-05	0.000664617990325974	0.000472267574822937	HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	6
WP_TGFBETA_SIGNALING_PATHWAY	WP_TGFBETA_SIGNALING_PATHWAY	8/190	133/21728	2.27650499774779e-05	0.000674146149804746	0.000479038142028556	COL1A2/CREBBP/FOXP3/MAP2K2/PIK3R2/RAC1/RAF1/TNC	8
WP_ALZHEIMERS_DISEASE	WP_ALZHEIMERS_DISEASE	11/190	266/21728	2.37389620858194e-05	0.000696416841003618	0.000494863361139708	APAF1/ATP2A2/CASP9/FZD6/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/TUBA1A/WNT6	11
WP_SEROTONIN_RECEPTOR_2_AND_ELKSRFGATA4_SIGNALING	WP_SEROTONIN_RECEPTOR_2_AND_ELKSRFGATA4_SIGNALING	4/190	20/21728	2.45969053522401e-05	0.000714904499080385	0.000508000413658837	GATA4/HRAS/MAP2K2/RAF1	4
REACTOME_MET_PROMOTES_CELL_MOTILITY	REACTOME_MET_PROMOTES_CELL_MOTILITY	5/190	41/21728	2.81525590343011e-05	0.000804460195491162	0.000571637348215413	COL11A2/COL1A1/COL1A2/COL2A1/RAC1	5
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	8/190	137/21728	2.81907045250168e-05	0.000804460195491162	0.000571637348215413	HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1/SOS2	8
REACTOME_CHROMATIN_MODIFYING_ENZYMES	REACTOME_CHROMATIN_MODIFYING_ENZYMES	11/190	272/21728	2.91335739733116e-05	0.000823704547532937	0.000585312096115858	ARID1A/ARID1B/CREBBP/KAT2A/KDM1A/KMT2D/MECOM/NCOA1/PADI6/SMARCB1/SMARCC2	11
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	7/190	101/21728	3.01035460462692e-05	0.000823704547532937	0.000585312096115858	CREBBP/FZD6/HRAS/MAP2K2/PRKACB/RAF1/WNT6	7
BIOCARTA_IGF1_PATHWAY	BIOCARTA_IGF1_PATHWAY	4/190	21/21728	3.01771337898336e-05	0.000823704547532937	0.000585312096115858	HRAS/PIK3CA/PTPN11/RAF1	4
BIOCARTA_INSULIN_PATHWAY	BIOCARTA_INSULIN_PATHWAY	4/190	21/21728	3.01771337898336e-05	0.000823704547532937	0.000585312096115858	HRAS/PIK3CA/PTPN11/RAF1	4
REACTOME_CD209_DC_SIGN_SIGNALING	REACTOME_CD209_DC_SIGN_SIGNALING	4/190	21/21728	3.01771337898336e-05	0.000823704547532937	0.000585312096115858	CREBBP/HRAS/PRKACB/RAF1	4
PID_VEGFR1_2_PATHWAY	PID_VEGFR1_2_PATHWAY	6/190	69/21728	3.13448580551417e-05	0.000848202667543878	0.000602720092729994	CDH5/FLT1/MAP2K2/PIK3CA/PTPN11/RAF1	6
WP_VEGFAVEGFR2_SIGNALING_PATHWAY	WP_VEGFAVEGFR2_SIGNALING_PATHWAY	14/190	438/21728	3.33122260551911e-05	0.000893735705873887	0.000635075186783174	ADAMTS1/CDH5/CREBBP/FGA/FLT1/HRAS/MAP2K2/MMP10/NAP1L1/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1	14
WELCSH_BRCA1_TARGETS_DN	WELCSH_BRCA1_TARGETS_DN	8/190	141/21728	3.4659608855972e-05	0.000922004340668612	0.000655162454645894	EIF2B2/FGFR3/HRAS/HSF1/KAT2A/PIEZO1/POLG/SMAD6	8
PID_CXCR3_PATHWAY	PID_CXCR3_PATHWAY	5/190	43/21728	3.56535441066488e-05	0.00094047457941824	0.000668287129252444	HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1	5
BIOCARTA_CREB_PATHWAY	BIOCARTA_CREB_PATHWAY	4/190	22/21728	3.66316160109156e-05	0.000949685227749945	0.000674832077799545	HRAS/PIK3CA/PRKACB/RAC1	4
PID_HEDGEHOG_2PATHWAY	PID_HEDGEHOG_2PATHWAY	4/190	22/21728	3.66316160109156e-05	0.000949685227749945	0.000674832077799545	GAS1/PIK3CA/PTCH1/STIL	4
KEGG_MELANOMA	KEGG_MELANOMA	6/190	71/21728	3.69103529103196e-05	0.000949685227749945	0.000674832077799545	CDH1/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1	6
REACTOME_DISEASES_OF_GLYCOSYLATION	REACTOME_DISEASES_OF_GLYCOSYLATION	8/190	143/21728	3.83326921873936e-05	0.000978262770538443	0.000695138851049097	ADAMTS1/ADAMTSL2/B3GAT3/CTSA/GFPT1/NOTCH1/POMT1/THSD1	8
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER	REACTOME_PI3K_AKT_SIGNALING_IN_CANCER	7/190	105/21728	3.86844768875466e-05	0.000979278814112973	0.00069586083637276	CASP9/FGFR2/FGFR3/PIK3CA/PIK3R2/PTPN11/RAC1	7
NABA_COLLAGENS	NABA_COLLAGENS	5/190	44/21728	3.99408960335024e-05	0.000987200572040663	0.0007014899187318	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3	5
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	5/190	44/21728	3.99408960335024e-05	0.000987200572040663	0.0007014899187318	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3	5
WP_INTERLEUKIN11_SIGNALING_PATHWAY	WP_INTERLEUKIN11_SIGNALING_PATHWAY	5/190	44/21728	3.99408960335024e-05	0.000987200572040663	0.0007014899187318	HRAS/MAP2K2/PIK3R2/PTPN11/RAF1	5
REACTOME_SIGNALING_BY_VEGF	REACTOME_SIGNALING_BY_VEGF	7/190	106/21728	4.11169683120435e-05	0.00100832940258988	0.000716503748792929	CDH5/FLT1/HRAS/PIK3CA/PIK3R2/PRKACB/RAC1	7
BIOCARTA_IGF1R_PATHWAY	BIOCARTA_IGF1R_PATHWAY	4/190	23/21728	4.40411851883661e-05	0.00107166883958357	0.000761511802645024	HRAS/PIK3CA/PRKACB/RAF1	4
BIOCARTA_TFF_PATHWAY	BIOCARTA_TFF_PATHWAY	4/190	24/21728	5.24891693855093e-05	0.00125773666184056	0.000893728806170302	APAF1/CASP9/HRAS/PIK3CA	4
BIOCARTA_VDR_PATHWAY	BIOCARTA_VDR_PATHWAY	4/190	24/21728	5.24891693855093e-05	0.00125773666184056	0.000893728806170302	ARID1A/CREBBP/NCOA1/SMARCC2	4
WP_REGULATION_OF_ACTIN_CYTOSKELETON	WP_REGULATION_OF_ACTIN_CYTOSKELETON	8/190	150/21728	5.38501915331973e-05	0.00128057387289929	0.000909956585796213	FGFR2/FGFR3/MAP2K2/PIK3CA/PIK3R2/RAC1/RAF1/SOS2	8
WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA	WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA	6/190	76/21728	5.43424924655372e-05	0.00128256454022046	0.000911371124135128	FGFR2/FGFR3/HRAS/NOTCH1/PIK3CA/PIK3R2	6
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	10/190	242/21728	5.63093758299039e-05	0.00131906813977663	0.000937310034434929	CEP55/CHD7/COL1A1/COL1A2/GPD1L/MMP9/NAP1L1/SOX9/SRRT/TRIM28	10
WP_JOUBERT_SYNDROME	WP_JOUBERT_SYNDROME	6/190	77/21728	5.85105256334254e-05	0.00136047807380239	0.000966735312415036	BBS4/FLNA/INVS/MKS1/OFD1/PIBF1	6
APRELIKOVA_BRCA1_TARGETS	APRELIKOVA_BRCA1_TARGETS	5/190	48/21728	6.12180209947854e-05	0.00137178929734505	0.000974772898198944	ACTA1/DDX3X/NEFL/RIT1/TUBA1A	5
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	5/190	48/21728	6.12180209947854e-05	0.00137178929734505	0.000974772898198944	AGT/BMP7/CDH1/CDH11/GATA3	5
PID_HES_HEY_PATHWAY	PID_HES_HEY_PATHWAY	5/190	48/21728	6.12180209947854e-05	0.00137178929734505	0.000974772898198944	CREBBP/GATA4/KDM1A/NCOA1/NOTCH1	5
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	4/190	25/21728	6.20612679561017e-05	0.00137178929734505	0.000974772898198944	FGFR3/HRAS/PIK3CA/PTPN11	4
REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	4/190	25/21728	6.20612679561017e-05	0.00137178929734505	0.000974772898198944	CREBBP/KAT2A/NOTCH1/PBX1	4
REACTOME_SIGNALING_BY_NTRK2_TRKB	REACTOME_SIGNALING_BY_NTRK2_TRKB	4/190	25/21728	6.20612679561017e-05	0.00137178929734505	0.000974772898198944	HRAS/PIK3CA/PTPN11/RAC1	4
WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART	WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART	4/190	25/21728	6.20612679561017e-05	0.00137178929734505	0.000974772898198944	AGT/GATA4/LIFR/RAC1	4
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	6/190	78/21728	6.29301238667369e-05	0.00137178929734505	0.000974772898198944	FGFR2/FGFR3/PIK3CA/PIK3R2/PTPN11/RAC1	6
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	6/190	78/21728	6.29301238667369e-05	0.00137178929734505	0.000974772898198944	FGFR2/FGFR3/HRAS/PIK3CA/PIK3R2/PTPN11	6
WP_GASTRIN_SIGNALING_PATHWAY	WP_GASTRIN_SIGNALING_PATHWAY	7/190	114/21728	6.54668804696812e-05	0.00141724508823675	0.00100707310138116	CDH1/HRAS/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1	7
RUIZ_TNC_TARGETS_UP	RUIZ_TNC_TARGETS_UP	8/190	156/21728	7.10187330319742e-05	0.00152690276018744	0.00108499419823182	CDH11/COL1A2/CTSA/FOXF1/GBE1/KRIT1/NAP1L1/TRO	8
BIOCARTA_RACCYCD_PATHWAY	BIOCARTA_RACCYCD_PATHWAY	4/190	26/21728	7.28454308568863e-05	0.00154501221256599	0.00109786250345478	HRAS/PIK3CA/RAC1/RAF1	4
WP_MAMMALIAN_DISORDER_OF_SEXUAL_DEVELOPMENT	WP_MAMMALIAN_DISORDER_OF_SEXUAL_DEVELOPMENT	4/190	26/21728	7.28454308568863e-05	0.00154501221256599	0.00109786250345478	FGFR2/GATA4/PBX1/SOX9	4
BRUNEAU_SEPTATION_VENTRICULAR	BRUNEAU_SEPTATION_VENTRICULAR	3/190	10/21728	7.54900015387111e-05	0.00157975409886676	0.00112254956674055	GATA4/PTPN11/RAF1	3
REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER	REACTOME_SIGNALING_BY_FGFR3_FUSIONS_IN_CANCER	3/190	10/21728	7.54900015387111e-05	0.00157975409886676	0.00112254956674055	FGFR3/HRAS/PIK3CA	3
PID_REG_GR_PATHWAY	PID_REG_GR_PATHWAY	6/190	82/21728	8.33487619182804e-05	0.00173117360023931	0.00123014599316145	CREBBP/GATA3/NCOA1/PBX1/PRKACB/SMARCC2	6
BIOCARTA_PYK2_PATHWAY	BIOCARTA_PYK2_PATHWAY	4/190	27/21728	8.49317408209157e-05	0.00173117360023931	0.00123014599316145	HRAS/MAP2K2/RAC1/RAF1	4
BIOCARTA_VEGF_PATHWAY	BIOCARTA_VEGF_PATHWAY	4/190	27/21728	8.49317408209157e-05	0.00173117360023931	0.00123014599316145	EIF2B2/FLT1/HRAS/PIK3CA	4
WP_FGFR3_SIGNALING_IN_CHONDROCYTE_PROLIFERATION_AND_TERMINAL_DIFFERENTIATION	WP_FGFR3_SIGNALING_IN_CHONDROCYTE_PROLIFERATION_AND_TERMINAL_DIFFERENTIATION	4/190	27/21728	8.49317408209157e-05	0.00173117360023931	0.00123014599316145	FGFR3/MAP2K2/RAF1/SOX9	4
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	11/190	307/21728	8.67559200156282e-05	0.00175694730921972	0.00124846040416378	CASP9/FGFR2/FGFR3/KDM1A/MECOM/PIK3CA/PIK3R2/PRKACB/PTPN11/RAC1/SALL4	11
WP_INSULIN_SIGNALING	WP_INSULIN_SIGNALING	8/190	161/21728	8.85936012737353e-05	0.00178266227178369	0.00126673307084376	HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1/SOS2	8
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	6/190	84/21728	9.53675705846098e-05	0.00190674397493688	0.00135490366791008	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/TNC	6
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	9/190	210/21728	0.000100708553216078	0.00200078575028651	0.00142172834287055	ADAMTS1/CDH11/CDH5/COL1A1/COL1A2/FUCA1/LIFR/MMP9/TNC	9
WP_CHEMOKINE_SIGNALING_PATHWAY	WP_CHEMOKINE_SIGNALING_PATHWAY	8/190	165/21728	0.000105122536984891	0.00207534367041241	0.00147470808256196	GNB2/HRAS/PIK3CA/PIK3R2/PRKACB/RAC1/RAF1/SOS2	8
REACTOME_INTRAFLAGELLAR_TRANSPORT	REACTOME_INTRAFLAGELLAR_TRANSPORT	5/190	54/21728	0.000108372096670855	0.00212612507156134	0.00151079258451014	DYNC2H1/IFT122/TRAF3IP1/TTC21B/TUBA1A	5
BIOCARTA_BIOPEPTIDES_PATHWAY	BIOCARTA_BIOPEPTIDES_PATHWAY	4/190	29/21728	0.000113381109410548	0.00215698971175582	0.0015327245348705	AGT/HRAS/MAP2K2/RAF1	4
PID_IGF1_PATHWAY	PID_IGF1_PATHWAY	4/190	29/21728	0.000113381109410548	0.00215698971175582	0.0015327245348705	HRAS/PIK3CA/PTPN11/RAF1	4
REACTOME_DAP12_SIGNALING	REACTOME_DAP12_SIGNALING	4/190	29/21728	0.000113381109410548	0.00215698971175582	0.0015327245348705	HRAS/PIK3CA/PIK3R2/RAC1	4
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	4/190	29/21728	0.000113381109410548	0.00215698971175582	0.0015327245348705	HRAS/PIK3CA/PIK3R2/PTPN11	4
WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING	WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING	4/190	29/21728	0.000113381109410548	0.00215698971175582	0.0015327245348705	COL1A1/HRAS/MAP2K2/RAF1	4
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	6/190	87/21728	0.000115939829204004	0.00219238026428536	0.0015578725306486	HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	6
PID_IL2_1PATHWAY	PID_IL2_1PATHWAY	5/190	55/21728	0.000118370454581623	0.00219860862089772	0.00156229830743357	HRAS/MAP2K2/PIK3CA/PTPN11/RAF1	5
WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM	WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM	5/190	55/21728	0.000118370454581623	0.00219860862089772	0.00156229830743357	APAF1/CASP9/HSF1/PRKDC/TRIM28	5
WP_IL4_SIGNALING_PATHWAY	WP_IL4_SIGNALING_PATHWAY	5/190	55/21728	0.000118370454581623	0.00219860862089772	0.00156229830743357	FLNA/GATA3/PIK3CA/PIK3R2/PTPN11	5
SMIRNOV_RESPONSE_TO_IR_6HR_UP	SMIRNOV_RESPONSE_TO_IR_6HR_UP	8/190	168/21728	0.000119127726760513	0.00219965843706617	0.00156304429105589	APAF1/BBS4/FUCA1/FZD6/GNB2/HRAS/NOTCH1/PLXNB2	8
PILON_KLF1_TARGETS_UP	PILON_KLF1_TARGETS_UP	14/190	497/21728	0.000128030338050069	0.00233064428914681	0.00165612087278955	ABCC8/CDH5/COL1A1/COL1A2/COL2A1/FGA/FGFR2/FLT1/FOXP2/HUWE1/NAP1L1/NRK/PBX1/PTPRB	14
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	5/190	56/21728	0.000129060958003032	0.00233064428914681	0.00165612087278955	BMP7/GAS1/PRKACB/PTCH1/WNT6	5
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	8/190	170/21728	0.000129294605504452	0.00233064428914681	0.00165612087278955	ADAMTS1/CDH1/COL1A1/COL1A2/COL6A3/FGFR2/MMP9/MYOM1	8
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	4/190	30/21728	0.000129933975979832	0.00233064428914681	0.00165612087278955	FGFR2/HRAS/PIK3CA/PTPN11	4
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	REACTOME_MET_ACTIVATES_PTK2_SIGNALING	4/190	30/21728	0.000129933975979832	0.00233064428914681	0.00165612087278955	COL11A2/COL1A1/COL1A2/COL2A1	4
REACTOME_SIGNALING_BY_PDGFRA_TRANSMEMBRANE_JUXTAMEMBRANE_AND_KINASE_DOMAIN_MUTANTS	REACTOME_SIGNALING_BY_PDGFRA_TRANSMEMBRANE_JUXTAMEMBRANE_AND_KINASE_DOMAIN_MUTANTS	3/190	12/21728	0.000136622497957937	0.00243669330164753	0.00173147771036405	HRAS/PIK3CA/PIK3R2	3
REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_ESR_MEDIATED_SIGNALING	9/190	219/21728	0.000138383138227078	0.00244973715940675	0.00174074648003317	CREBBP/GATA3/GNB2/HRAS/KDM1A/MMP9/NCOA1/PIK3CA/PIK3R2	9
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	6/190	90/21728	0.000139887141273186	0.00244973715940675	0.00174074648003317	HRAS/MAP2K2/PRKACB/RAF1/SOS2/TUBA1A	6
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	6/190	90/21728	0.000139887141273186	0.00244973715940675	0.00174074648003317	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/MMP9	6
PID_SHP2_PATHWAY	PID_SHP2_PATHWAY	5/190	57/21728	0.000140475530007396	0.00244973715940675	0.00174074648003317	HRAS/MAP2K2/PIK3CA/PTPN11/RAF1	5
PID_PDGFRB_PATHWAY	PID_PDGFRB_PATHWAY	7/190	129/21728	0.000142477222549103	0.00247091713581014	0.0017557966535711	HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1	7
PID_NEPHRIN_NEPH1_PATHWAY	PID_NEPHRIN_NEPH1_PATHWAY	4/190	31/21728	0.000148168389066467	0.00252282864033891	0.00179268419002973	NPHS1/PIK3CA/PIK3R2/RAC1	4
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	6/190	91/21728	0.000148685345161739	0.00252282864033891	0.00179268419002973	CREBBP/FLNA/KDM1A/NCOA1/PIK3R2/RAC1	6
WP_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING_PATHWAY	6/190	91/21728	0.000148685345161739	0.00252282864033891	0.00179268419002973	HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	6
WP_TCELL_RECEPTOR_TCR_SIGNALING_PATHWAY	WP_TCELL_RECEPTOR_TCR_SIGNALING_PATHWAY	6/190	91/21728	0.000148685345161739	0.00252282864033891	0.00179268419002973	GATA3/HRAS/MAP2K2/PIK3R2/PTPN11/RAF1	6
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	5/190	59/21728	0.000165608002590486	0.00276224114027452	0.00196280712135669	ADAMTS1/AUTS2/LIFR/MDFIC/PBX1	5
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	5/190	59/21728	0.000165608002590486	0.00276224114027452	0.00196280712135669	COL11A2/COL1A1/COL1A2/COL2A1/TNC	5
WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS	WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS	5/190	59/21728	0.000165608002590486	0.00276224114027452	0.00196280712135669	CASP9/CREBBP/MAP2K2/PIK3CA/RAF1	5
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN	DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN	10/190	276/21728	0.00016631525183558	0.00276224114027452	0.00196280712135669	ATP2A2/ATP7B/COL2A1/FGFR3/FLNA/FUCA1/INTS1/PLXNB2/POLG/TRAPPC12	10
PID_WNT_NONCANONICAL_PATHWAY	PID_WNT_NONCANONICAL_PATHWAY	4/190	32/21728	0.000168183424484637	0.00277856720766987	0.00197440817996092	CHD7/FLNA/FZD6/RAC1	4
BIOCARTA_CDK5_PATHWAY	BIOCARTA_CDK5_PATHWAY	3/190	13/21728	0.000176466775824788	0.00288621195410882	0.00205089892213631	HRAS/MAP2K2/RAF1	3
WP_TNFALPHA_SIGNALING_PATHWAY	WP_TNFALPHA_SIGNALING_PATHWAY	6/190	94/21728	0.000177734882576174	0.00288621195410882	0.00205089892213631	APAF1/CASP9/CREBBP/HRAS/RAC1/RAF1	6
PID_FCER1_PATHWAY	PID_FCER1_PATHWAY	5/190	60/21728	0.000179393153159317	0.00288621195410882	0.00205089892213631	HRAS/MAP2K2/PIK3CA/PTPN11/RAF1	5
WP_KIT_RECEPTOR_SIGNALING_PATHWAY	WP_KIT_RECEPTOR_SIGNALING_PATHWAY	5/190	60/21728	0.000179393153159317	0.00288621195410882	0.00205089892213631	HRAS/MAP2K2/PIK3R2/PTPN11/RAF1	5
WP_PREIMPLANTATION_EMBRYO	WP_PREIMPLANTATION_EMBRYO	5/190	60/21728	0.000179393153159317	0.00288621195410882	0.00205089892213631	CDH1/GATA3/NLRP5/PADI6/PBX1	5
REACTOME_SIGNALING_BY_NTRKS	REACTOME_SIGNALING_BY_NTRKS	7/190	134/21728	0.000180380177320132	0.00288621195410882	0.00205089892213631	HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RIT1	7
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN	THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN	9/190	227/21728	0.000181135315374144	0.00288621195410882	0.00205089892213631	APAF1/CREBBP/GNB2/HSF1/NCOA1/RAF1/RERE/RGS14/UBN1	9
WP_THYROID_HORMONES_PRODUCTION_AND_PERIPHERAL_DOWNSTREAM_SIGNALING_EFFECTS	WP_THYROID_HORMONES_PRODUCTION_AND_PERIPHERAL_DOWNSTREAM_SIGNALING_EFFECTS	6/190	95/21728	0.000188354443943116	0.00296845767926969	0.00210934150077044	CASP9/HRAS/KDM1A/NOTCH1/PIK3CA/RAF1	6
BIOCARTA_AGR_PATHWAY	BIOCARTA_AGR_PATHWAY	4/190	33/21728	0.000190079641138327	0.00296845767926969	0.00210934150077044	ACTA1/CHRNA1/RAC1/RAPSN	4
WP_MAPK_CASCADE	WP_MAPK_CASCADE	4/190	33/21728	0.000190079641138327	0.00296845767926969	0.00210934150077044	HRAS/MAP2K2/RAF1/SOS2	4
